n_all,n_strata,RR_star_lower,RR_star_upper,response,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_1,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,100,0.6,0.05,1,1,1,1,0.6,0.6,0.05
2,3,1,1,mult,100,0.65,0.05,1,1,1,1,0.65,0.65,0.05
2,3,1,1,mult,100,0.7,0.05,1,1,1,1,0.7,0.7,0.05
2,3,1,1,mult,100,0.75,0.05,1,1,1,1,0.75,0.75,0.05
2,3,1,1,mult,100,0.8,0.05,1,1,1,1,0.8,0.8,0.05
2,3,1,1,mult,100,0.85,0.05,1,1,1,1,0.85,0.85,0.05
2,3,1,1,mult,100,0.9,0.05,1,1,1,1,0.9,0.9,0.05
2,3,1,1,mult,100,0.95,0.05,1,1,1,1,0.95,0.95,0.05
2,3,1,1,mult,100,0.6,5e-5,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-5,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-5,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-6,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-6,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-6,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-6,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-6,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5.000000000000001e-7,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5.000000000000001e-7,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5.000000000000001e-7,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5.000000000000001e-7,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5.000000000000001e-7,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5.000000000000001e-7,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5.000000000000001e-7,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5.000000000000001e-7,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-8,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-8,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-8,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-8,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-8,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-8,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-8,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-10,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-10,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-10,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-10,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-10,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,1.3,1.3,1,0.7692307692307692,0.6,0.6,0.35
2,3,1,1,mult,100,0.65,0.05,1.3,1.3,1,0.7692307692307692,0.65,0.65,0.33
2,3,1,1,mult,100,0.7,0.05,1.3,1.3,1,0.7692307692307692,0.7,0.7,0.31
2,3,1,1,mult,100,0.75,0.05,1.3,1.3,1,0.7692307692307692,0.75,0.75,0.28
2,3,1,1,mult,100,0.8,0.05,1.3,1.3,1,0.7692307692307692,0.8,0.8,0.24
2,3,1,1,mult,100,0.85,0.05,1.3,1.3,1,0.7692307692307692,0.85,0.85,0.2
2,3,1,1,mult,100,0.9,0.05,1.3,1.3,1,0.7692307692307692,0.9,0.9,0.15
2,3,1,1,mult,100,0.95,0.05,1.3,1.3,1,0.7692307692307692,0.95,0.95,0.1
2,3,1,1,mult,100,0.6,5e-5,1.3,1.3,1,0.7692307692307692,0.6,0.6,0.01
2,3,1,1,mult,100,0.65,5e-5,1.3,1.3,1,0.7692307692307692,0.65,0.65,0.01
2,3,1,1,mult,100,0.7,5e-5,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-5,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-5,1.3,1.3,1,0.7692307692307692,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-5,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-5,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-5,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-6,1.3,1.3,1,0.7692307692307692,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-6,1.3,1.3,1,0.7692307692307692,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-6,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-6,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-6,1.3,1.3,1,0.7692307692307692,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-6,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-6,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-6,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.6,0.6,0
2,3,1,1,mult,100,0.65,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.65,0.65,0
2,3,1,1,mult,100,0.7,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
2,3,1,1,mult,100,0.8,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.8,0.8,0
2,3,1,1,mult,100,0.85,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5.000000000000001e-7,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,1.3,1.3,1,0.7692307692307692,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-8,1.3,1.3,1,0.7692307692307692,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-8,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-8,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-8,1.3,1.3,1,0.7692307692307692,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-8,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-8,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-8,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,1.3,1.3,1,0.7692307692307692,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-10,1.3,1.3,1,0.7692307692307692,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-10,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-10,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-10,1.3,1.3,1,0.7692307692307692,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-10,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,1.6,1.6,1,0.625,0.6,0.6,0.83
2,3,1,1,mult,100,0.65,0.05,1.6,1.6,1,0.625,0.65,0.65,0.81
2,3,1,1,mult,100,0.7,0.05,1.6,1.6,1,0.625,0.7,0.7,0.77
2,3,1,1,mult,100,0.75,0.05,1.6,1.6,1,0.625,0.75,0.75,0.72
2,3,1,1,mult,100,0.8,0.05,1.6,1.6,1,0.625,0.8,0.8,0.65
2,3,1,1,mult,100,0.85,0.05,1.6,1.6,1,0.625,0.85,0.85,0.54
2,3,1,1,mult,100,0.9,0.05,1.6,1.6,1,0.625,0.9,0.9,0.4
2,3,1,1,mult,100,0.95,0.05,1.6,1.6,1,0.625,0.95,0.95,0.23
2,3,1,1,mult,100,0.6,5e-5,1.6,1.6,1,0.625,0.6,0.6,0.13
2,3,1,1,mult,100,0.65,5e-5,1.6,1.6,1,0.625,0.65,0.65,0.12
2,3,1,1,mult,100,0.7,5e-5,1.6,1.6,1,0.625,0.7,0.7,0.09
2,3,1,1,mult,100,0.75,5e-5,1.6,1.6,1,0.625,0.75,0.75,0.07
2,3,1,1,mult,100,0.8,5e-5,1.6,1.6,1,0.625,0.8,0.8,0.05
2,3,1,1,mult,100,0.85,5e-5,1.6,1.6,1,0.625,0.85,0.85,0.03
2,3,1,1,mult,100,0.9,5e-5,1.6,1.6,1,0.625,0.9,0.9,0.01
2,3,1,1,mult,100,0.95,5e-5,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-6,1.6,1.6,1,0.625,0.6,0.6,0.05
2,3,1,1,mult,100,0.65,5e-6,1.6,1.6,1,0.625,0.65,0.65,0.05
2,3,1,1,mult,100,0.7,5e-6,1.6,1.6,1,0.625,0.7,0.7,0.04
2,3,1,1,mult,100,0.75,5e-6,1.6,1.6,1,0.625,0.75,0.75,0.02
2,3,1,1,mult,100,0.8,5e-6,1.6,1.6,1,0.625,0.8,0.8,0.01
2,3,1,1,mult,100,0.85,5e-6,1.6,1.6,1,0.625,0.85,0.85,0.01
2,3,1,1,mult,100,0.9,5e-6,1.6,1.6,1,0.625,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-6,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5.000000000000001e-7,1.6,1.6,1,0.625,0.6,0.6,0.02
2,3,1,1,mult,100,0.65,5.000000000000001e-7,1.6,1.6,1,0.625,0.65,0.65,0.02
2,3,1,1,mult,100,0.7,5.000000000000001e-7,1.6,1.6,1,0.625,0.7,0.7,0.01
2,3,1,1,mult,100,0.75,5.000000000000001e-7,1.6,1.6,1,0.625,0.75,0.75,0.01
2,3,1,1,mult,100,0.8,5.000000000000001e-7,1.6,1.6,1,0.625,0.8,0.8,0
2,3,1,1,mult,100,0.85,5.000000000000001e-7,1.6,1.6,1,0.625,0.85,0.85,0
2,3,1,1,mult,100,0.9,5.000000000000001e-7,1.6,1.6,1,0.625,0.9,0.9,0
2,3,1,1,mult,100,0.95,5.000000000000001e-7,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,1.6,1.6,1,0.625,0.6,0.6,0.01
2,3,1,1,mult,100,0.65,5e-8,1.6,1.6,1,0.625,0.65,0.65,0.01
2,3,1,1,mult,100,0.7,5e-8,1.6,1.6,1,0.625,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-8,1.6,1.6,1,0.625,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-8,1.6,1.6,1,0.625,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-8,1.6,1.6,1,0.625,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-8,1.6,1.6,1,0.625,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-8,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,1.6,1.6,1,0.625,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-10,1.6,1.6,1,0.625,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-10,1.6,1.6,1,0.625,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-10,1.6,1.6,1,0.625,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-10,1.6,1.6,1,0.625,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-10,1.6,1.6,1,0.625,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,1.6,1.6,1,0.625,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,1.9,1.9,1,0.5263157894736842,0.6,0.6,0.98
2,3,1,1,mult,100,0.65,0.05,1.9,1.9,1,0.5263157894736842,0.65,0.65,0.97
2,3,1,1,mult,100,0.7,0.05,1.9,1.9,1,0.5263157894736842,0.7,0.7,0.96
2,3,1,1,mult,100,0.75,0.05,1.9,1.9,1,0.5263157894736842,0.75,0.75,0.94
2,3,1,1,mult,100,0.8,0.05,1.9,1.9,1,0.5263157894736842,0.8,0.8,0.9
2,3,1,1,mult,100,0.85,0.05,1.9,1.9,1,0.5263157894736842,0.85,0.85,0.81
2,3,1,1,mult,100,0.9,0.05,1.9,1.9,1,0.5263157894736842,0.9,0.9,0.65
2,3,1,1,mult,100,0.95,0.05,1.9,1.9,1,0.5263157894736842,0.95,0.95,0.39
2,3,1,1,mult,100,0.6,5e-5,1.9,1.9,1,0.5263157894736842,0.6,0.6,0.5
2,3,1,1,mult,100,0.65,5e-5,1.9,1.9,1,0.5263157894736842,0.65,0.65,0.45
2,3,1,1,mult,100,0.7,5e-5,1.9,1.9,1,0.5263157894736842,0.7,0.7,0.39
2,3,1,1,mult,100,0.75,5e-5,1.9,1.9,1,0.5263157894736842,0.75,0.75,0.31
2,3,1,1,mult,100,0.8,5e-5,1.9,1.9,1,0.5263157894736842,0.8,0.8,0.21
2,3,1,1,mult,100,0.85,5e-5,1.9,1.9,1,0.5263157894736842,0.85,0.85,0.12
2,3,1,1,mult,100,0.9,5e-5,1.9,1.9,1,0.5263157894736842,0.9,0.9,0.05
2,3,1,1,mult,100,0.95,5e-5,1.9,1.9,1,0.5263157894736842,0.95,0.95,0.01
2,3,1,1,mult,100,0.6,5e-6,1.9,1.9,1,0.5263157894736842,0.6,0.6,0.31
2,3,1,1,mult,100,0.65,5e-6,1.9,1.9,1,0.5263157894736842,0.65,0.65,0.27
2,3,1,1,mult,100,0.7,5e-6,1.9,1.9,1,0.5263157894736842,0.7,0.7,0.22
2,3,1,1,mult,100,0.75,5e-6,1.9,1.9,1,0.5263157894736842,0.75,0.75,0.16
2,3,1,1,mult,100,0.8,5e-6,1.9,1.9,1,0.5263157894736842,0.8,0.8,0.1
2,3,1,1,mult,100,0.85,5e-6,1.9,1.9,1,0.5263157894736842,0.85,0.85,0.05
2,3,1,1,mult,100,0.9,5e-6,1.9,1.9,1,0.5263157894736842,0.9,0.9,0.02
2,3,1,1,mult,100,0.95,5e-6,1.9,1.9,1,0.5263157894736842,0.95,0.95,0
2,3,1,1,mult,100,0.6,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.6,0.6,0.17
2,3,1,1,mult,100,0.65,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.65,0.65,0.14
2,3,1,1,mult,100,0.7,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.7,0.7,0.11
2,3,1,1,mult,100,0.75,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.75,0.75,0.07
2,3,1,1,mult,100,0.8,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.8,0.8,0.04
2,3,1,1,mult,100,0.85,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.85,0.85,0.02
2,3,1,1,mult,100,0.9,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.9,0.9,0
2,3,1,1,mult,100,0.95,5.000000000000001e-7,1.9,1.9,1,0.5263157894736842,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,1.9,1.9,1,0.5263157894736842,0.6,0.6,0.09
2,3,1,1,mult,100,0.65,5e-8,1.9,1.9,1,0.5263157894736842,0.65,0.65,0.07
2,3,1,1,mult,100,0.7,5e-8,1.9,1.9,1,0.5263157894736842,0.7,0.7,0.05
2,3,1,1,mult,100,0.75,5e-8,1.9,1.9,1,0.5263157894736842,0.75,0.75,0.03
2,3,1,1,mult,100,0.8,5e-8,1.9,1.9,1,0.5263157894736842,0.8,0.8,0.02
2,3,1,1,mult,100,0.85,5e-8,1.9,1.9,1,0.5263157894736842,0.85,0.85,0.01
2,3,1,1,mult,100,0.9,5e-8,1.9,1.9,1,0.5263157894736842,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-8,1.9,1.9,1,0.5263157894736842,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,1.9,1.9,1,0.5263157894736842,0.6,0.6,0.02
2,3,1,1,mult,100,0.65,5e-10,1.9,1.9,1,0.5263157894736842,0.65,0.65,0.01
2,3,1,1,mult,100,0.7,5e-10,1.9,1.9,1,0.5263157894736842,0.7,0.7,0.01
2,3,1,1,mult,100,0.75,5e-10,1.9,1.9,1,0.5263157894736842,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-10,1.9,1.9,1,0.5263157894736842,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-10,1.9,1.9,1,0.5263157894736842,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,1.9,1.9,1,0.5263157894736842,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,1.9,1.9,1,0.5263157894736842,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,2.2,2.2,1,0.45454545454545453,0.6,0.6,1
2,3,1,1,mult,100,0.65,0.05,2.2,2.2,1,0.45454545454545453,0.65,0.65,1
2,3,1,1,mult,100,0.7,0.05,2.2,2.2,1,0.45454545454545453,0.7,0.7,1
2,3,1,1,mult,100,0.75,0.05,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.99
2,3,1,1,mult,100,0.8,0.05,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.98
2,3,1,1,mult,100,0.85,0.05,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.94
2,3,1,1,mult,100,0.9,0.05,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.82
2,3,1,1,mult,100,0.95,0.05,2.2,2.2,1,0.45454545454545453,0.95,0.95,0.53
2,3,1,1,mult,100,0.6,5e-5,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.82
2,3,1,1,mult,100,0.65,5e-5,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.78
2,3,1,1,mult,100,0.7,5e-5,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.71
2,3,1,1,mult,100,0.75,5e-5,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.61
2,3,1,1,mult,100,0.8,5e-5,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.48
2,3,1,1,mult,100,0.85,5e-5,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.3
2,3,1,1,mult,100,0.9,5e-5,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.13
2,3,1,1,mult,100,0.95,5e-5,2.2,2.2,1,0.45454545454545453,0.95,0.95,0.02
2,3,1,1,mult,100,0.6,5e-6,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.66
2,3,1,1,mult,100,0.65,5e-6,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.61
2,3,1,1,mult,100,0.7,5e-6,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.53
2,3,1,1,mult,100,0.75,5e-6,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.42
2,3,1,1,mult,100,0.8,5e-6,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.29
2,3,1,1,mult,100,0.85,5e-6,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.16
2,3,1,1,mult,100,0.9,5e-6,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.05
2,3,1,1,mult,100,0.95,5e-6,2.2,2.2,1,0.45454545454545453,0.95,0.95,0.01
2,3,1,1,mult,100,0.6,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.48
2,3,1,1,mult,100,0.65,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.43
2,3,1,1,mult,100,0.7,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.35
2,3,1,1,mult,100,0.75,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.26
2,3,1,1,mult,100,0.8,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.16
2,3,1,1,mult,100,0.85,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.07
2,3,1,1,mult,100,0.9,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.02
2,3,1,1,mult,100,0.95,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.32
2,3,1,1,mult,100,0.65,5e-8,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.28
2,3,1,1,mult,100,0.7,5e-8,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.21
2,3,1,1,mult,100,0.75,5e-8,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.14
2,3,1,1,mult,100,0.8,5e-8,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.08
2,3,1,1,mult,100,0.85,5e-8,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.03
2,3,1,1,mult,100,0.9,5e-8,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.01
2,3,1,1,mult,100,0.95,5e-8,2.2,2.2,1,0.45454545454545453,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.11
2,3,1,1,mult,100,0.65,5e-10,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.09
2,3,1,1,mult,100,0.7,5e-10,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.06
2,3,1,1,mult,100,0.75,5e-10,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.03
2,3,1,1,mult,100,0.8,5e-10,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.01
2,3,1,1,mult,100,0.85,5e-10,2.2,2.2,1,0.45454545454545453,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,2.2,2.2,1,0.45454545454545453,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,2.2,2.2,1,0.45454545454545453,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,2.5,2.5,1,0.4,0.6,0.6,1
2,3,1,1,mult,100,0.65,0.05,2.5,2.5,1,0.4,0.65,0.65,1
2,3,1,1,mult,100,0.7,0.05,2.5,2.5,1,0.4,0.7,0.7,1
2,3,1,1,mult,100,0.75,0.05,2.5,2.5,1,0.4,0.75,0.75,1
2,3,1,1,mult,100,0.8,0.05,2.5,2.5,1,0.4,0.8,0.8,1
2,3,1,1,mult,100,0.85,0.05,2.5,2.5,1,0.4,0.85,0.85,0.98
2,3,1,1,mult,100,0.9,0.05,2.5,2.5,1,0.4,0.9,0.9,0.92
2,3,1,1,mult,100,0.95,0.05,2.5,2.5,1,0.4,0.95,0.95,0.66
2,3,1,1,mult,100,0.6,5e-5,2.5,2.5,1,0.4,0.6,0.6,0.95
2,3,1,1,mult,100,0.65,5e-5,2.5,2.5,1,0.4,0.65,0.65,0.93
2,3,1,1,mult,100,0.7,5e-5,2.5,2.5,1,0.4,0.7,0.7,0.9
2,3,1,1,mult,100,0.75,5e-5,2.5,2.5,1,0.4,0.75,0.75,0.83
2,3,1,1,mult,100,0.8,5e-5,2.5,2.5,1,0.4,0.8,0.8,0.71
2,3,1,1,mult,100,0.85,5e-5,2.5,2.5,1,0.4,0.85,0.85,0.51
2,3,1,1,mult,100,0.9,5e-5,2.5,2.5,1,0.4,0.9,0.9,0.25
2,3,1,1,mult,100,0.95,5e-5,2.5,2.5,1,0.4,0.95,0.95,0.05
2,3,1,1,mult,100,0.6,5e-6,2.5,2.5,1,0.4,0.6,0.6,0.88
2,3,1,1,mult,100,0.65,5e-6,2.5,2.5,1,0.4,0.65,0.65,0.84
2,3,1,1,mult,100,0.7,5e-6,2.5,2.5,1,0.4,0.7,0.7,0.78
2,3,1,1,mult,100,0.75,5e-6,2.5,2.5,1,0.4,0.75,0.75,0.68
2,3,1,1,mult,100,0.8,5e-6,2.5,2.5,1,0.4,0.8,0.8,0.52
2,3,1,1,mult,100,0.85,5e-6,2.5,2.5,1,0.4,0.85,0.85,0.32
2,3,1,1,mult,100,0.9,5e-6,2.5,2.5,1,0.4,0.9,0.9,0.12
2,3,1,1,mult,100,0.95,5e-6,2.5,2.5,1,0.4,0.95,0.95,0.02
2,3,1,1,mult,100,0.6,5.000000000000001e-7,2.5,2.5,1,0.4,0.6,0.6,0.76
2,3,1,1,mult,100,0.65,5.000000000000001e-7,2.5,2.5,1,0.4,0.65,0.65,0.71
2,3,1,1,mult,100,0.7,5.000000000000001e-7,2.5,2.5,1,0.4,0.7,0.7,0.63
2,3,1,1,mult,100,0.75,5.000000000000001e-7,2.5,2.5,1,0.4,0.75,0.75,0.5
2,3,1,1,mult,100,0.8,5.000000000000001e-7,2.5,2.5,1,0.4,0.8,0.8,0.35
2,3,1,1,mult,100,0.85,5.000000000000001e-7,2.5,2.5,1,0.4,0.85,0.85,0.18
2,3,1,1,mult,100,0.9,5.000000000000001e-7,2.5,2.5,1,0.4,0.9,0.9,0.05
2,3,1,1,mult,100,0.95,5.000000000000001e-7,2.5,2.5,1,0.4,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,2.5,2.5,1,0.4,0.6,0.6,0.62
2,3,1,1,mult,100,0.65,5e-8,2.5,2.5,1,0.4,0.65,0.65,0.56
2,3,1,1,mult,100,0.7,5e-8,2.5,2.5,1,0.4,0.7,0.7,0.46
